id,title,author,type,link,rating,summary,reviewDate,categories,tweetEmbedHtml
revenge-of-the-tipping-point-malcolm-gladwell,Revenge of the Tipping Point,Malcolm Gladwell,Book,https://www.amazon.com/dp/031658150X/?bestFormat=true&k=revenge%20of%20the%20tipping%20point&ref_=nb_sb_ss_w_scx-ent-bk-ww_k0_1_7_de&crid=14NJD86AUXXS1&sprefix=revenge,3,Sequels rarely live up to the original.,2024-12-15,Misc.,
open-andre-agassi,Open,Andre Agassi,Book,,4,"Didn't car about tennis, still don't, but this guy and his story was fascinating.",2024-07-15,People,
range-david-epstein,Range,David Epstein,Book,,4,"The writing quality didn;t live up to the quality of the idea being expressed. Nonethess this shapes my life work strategy. Thanks Rohit, RIP.",2024-06-15,Misc.,
the-tipping-point-malcolm-gladwell,The Tipping Point,Malcolm Gladwell,Book,,4,"An easy read that is pretty intellectually stimulating. It's concretizes the hidden magic behind trends in a way that I had never understood before. Thanks Rohit, RIP.",2024-05-15,Misc.,
read-write-own-chris-dixon,Read Write Own,Chris Dixon,Book,,3,"Not sure if this is the best topic for a book. However, he nails the storytelling of the internet & why crypto brings us back to the original vision.",2024-04-15,Companies,
the-hot-hand-ben-cohen,The Hot Hand,Ben Cohen,Book,,3,"Easy read, simple concepts, interesting anecdotes, should have skimmed through a lot of it.",2024-03-15,Misc.,
skin-in-the-game-nassim-taleb,Skin in the Game,Nassim Nicholas Taleb,Book,,4,"Dense, tough to read, but pound for pound contains some of the best ideas I've read. Was not able to finish it, but I will be back.",2024-02-15,Economics,
going-infinite-michael-lewis,Going Infinite,Michael Lewis,Book,,3,"Some interesting stories, but it didn;t live up to the hype. Why does it sound like he thinks SBF is a good guy?",2024-01-15,Companies|People,
sons-of-wichita-daniel-schulman,Sons of Wichita,Daniel Schulman,Book,,5,Elite book. Can't believe the MSM convinced me these guys were evil. Legends.,2023-11-15,People|Companies,
how-to-change-your-mind-michael-pollan,How to Change Your Mind,Michael Pollan,Book,,4,"Didn't finish it, but it was great. Warning: contains ideas that require an open mind.",2023-10-15,Misc.,
prisoners-of-geography-tim-marshall,Prisoners of Geography,Tim Marshall,Book,,5,Elite book. I reccommend this to others often. Want to understnad about 90% of why the world is the way it is?,2023-08-15,Misc.,
in-defense-of-eaters-michael-pollan,In Defense of Food,Michael Pollan,Book,,4,"Didn't finish, but man the food industry is corrupted. Eat food, not too much, mostly plants. This book is probably what permanently shifted my diet in a positive direction.",2023-07-15,Misc.,
poor-charlies-almanack-charlie-munger,Poor Charlie's Almanack,Charlie Munger,Book,,4,"Simple, but effective. Wise man.",2023-06-15,People,
tools-of-titans-tim-ferriss,Tools of Titans,Tim Ferriss,Book,,3,Just jump around read about people you are interested in. Weird format.,2023-05-15,People,
the-black-swan-nassim-taleb,The Black Swan,Nassim Nicholas Taleb,Book,,4,"Legendary. Didn't finish so I need to come back to it, but very high quality ideas.",2023-04-15,Economics,
dreamers-and-deceivers-glenn-beck,Dreamers and Deceivers,Glenn Beck,Book,,5,Easy read. Very inspiring.,2023-03-15,People,
hard-thing-about-hard-things-ben-horowitz,The Hard Thing About Hard Things,Ben Horowitz,Book,,3,"Didin't finish, was tough to read. May come back at a later date to try it out again.",2023-02-15,Companies,
bitcoin-billionaires-ben-mezrich,Bitcoin Billionaires,Ben Mezrich,Book,,4,Rare cool stories about the early bitcoin world.,2023-01-15,Companies|People,
the-new-new-thing-michael-lewis,The New New Thing,Michael Lewis,Book,,5,Amazing read. Learn something about the origins of Silicon Valley. Jim Clark the lesser known legend.,2023-01-15,Companies|People,
short-history-nearly-everything-bill-bryson,A Short History of Nearly Everything,Bill Bryson,Book,,5,One of my favorite books ever. Learn a little bit about everything.,2022-12-15,Misc.,
outliers-malcolm-gladwell,Outliers,Malcolm Gladwell,Book,,5,"Thoroughly enjoyed, but it may be because I was young. Learned what it takes to be N of 1.",2022-11-15,People,
the-man-who-loved-only-numbers-paul-hoffman,The Man Who Loved Only Numbers,Paul Hoffman,Book,,5,Amazing read. Such a fascinating person.,2022-10-15,People,
business-adventures-john-brooks,Business Adventures,John Brooks,Book,,4,"Only read a handful of the interesting chapters that stood out, but the ones I read were great.",2022-09-15,Companies,
shoe-dog-phil-knight,Shoe Dog,Phil Knight,Book,,5,"Easy read, classic book. This was my second read.",2022-08-15,Companies|People,
surely-youre-joking-richard-feynman,"Surely You're Joking, Mr. Feynman!",Richard Feynman,Book,,5,Such a unique interesting person. Easy read.,2022-07-15,People,
eleven-rings-phil-jackson,Eleven Rings: The Soul of Success,Phil Jackson,Book,,4,"Don't remmeber that much from it, read it a while ago.",2022-06-15,People|Sports,
climbing-the-wrong-hill-chris-dixon,Climbing the Wrong Hill,Chris Dixon,Essay,https://cdixon.org/2009/09/19/climbing-the-wrong-hill,4,Well crafted analogy.,2023-05-15,Misc.,
is-it-worth-being-wise-paul-graham,Is It Worth Being Wise? Intelligence vs Wisdom,Paul Graham,Essay,https://paulgraham.com/wisdom.html,4,The goat essay writer,2023-04-15,Misc.,
marc-andreessen-profile,Tomorrow's Advance Man,Tad Friend,Profile,https://www.newyorker.com/magazine/2015/05/18/tomorrows-advance-man,4,SV Legend,,People,
jensen-huang-profile,Jensen Huang Profile,Stephen Witt,Profile,https://www.newyorker.com/magazine/2023/12/04/how-jensen-huangs-nvidia-is-powering-the-ai-revolution,5,Man was such an underrated entrpreneur for so long.,2023-03-15,People,
shane-gillis-profile,The Joker,Kelefa Sanneh,Profile,https://www.newyorker.com/magazine/2022/09/26/shane-gillis-fall-and-rise,4,Goat comedian,2023-02-15,People,
peter-thiel-profile,"No Death, No Taxes",George Packer,Profile,https://www.newyorker.com/magazine/2011/11/28/no-death-no-taxes,4,Legend,,People,
jeff-dean-sanajy-ghemawat-profile,The Friendship That Made Google Huge,James Somers,Profile,https://www.newyorker.com/magazine/2018/12/10/the-friendship-that-made-google-huge,5,Need more of these from the rest of the Mag7,2023-01-15,People,
matt-huang-profile,Paradigm Shifts,Dom Cooke,Profile,https://joincolossus.com/article/paradigm-shifts-matt-huang/,5,unearthed from the shadows,2025-04-15,People,
bill-benter-profile,The Gambler Who Cracked the Horse Racing Code,Kit Chellel,Profile,https://www.bloomberg.com/news/features/2018-05-03/the-gambler-who-cracked-the-horse-racing-code,4,How many people like this are out there that we've never heard of?,2025-03-15,People,
how-to-lose-time-and-money-paul-graham,How to Lose Time and Money,Paul Graham,Essay,https://paulgraham.com/selfindulgence.html,4,,,Misc.,
why-bitcoin-matters-marc-andreessen,Why Bitcoin Matters,Marc Andreessen,Essay,https://a16z.com/why-bitcoin-matters/,4,Being right & early is everything.,2022-03-15,Misc.,
four-quadrants-of-conformism-paul-graham,The Four Quadrants of Conformism,Paul Graham,Essay,https://www.paulgraham.com/conformism.html,5,One of my favorites from him.,2023-01-15,Misc.,
what-you-cant-say-paul-graham,What You Can't Say,Paul Graham,Essay,https://www.paulgraham.com/say.html,5,Another one of my favorites from him.,2023-02-15,Misc.,
josh-kushner-profile,The New World,Joshua Kushner,Profile,https://joincolossus.com/article/joshua-kushner-thrive-new-world/,4,"The rare case of born into everything, facing adversity unlike anything, and still rising to the top on his own.",2025-10-15,People,
thomas-peterffy-profile,The Making of a Market Maker,Dom Cooke,Profile,https://joincolossus.com/article/thomas-peterffy-market-maker/,4,Do we still get people with this type of story ever?,2025-09-15,People,
neil-mehta-profile,The Visions of Neil Mehta,Jeremy Stern,Profile,https://joincolossus.com/article/the-visions-of-neil-mehta-greenoaks/,5,How was this the first time I heard about this guy?,2025-09-15,People,
transformer-ai-ft,Generative AI exists because of the transformer,Madhumita Murgia,Essay,https://ig.ft.com/generative-ai/,5,Come here normie and learn how the transformer works.,2025-08-15,Technical,
what-is-chatgpt-doing-and-why-does-it-work-stephen-wolfram,What Is ChatGPT Doing … and Why Does It Work?,Stephen Wolfram,Essay,https://writings.stephenwolfram.com/2023/02/what-is-chatgpt-doing-and-why-does-it-work/,5,LLM's from the ground up.,2025-08-15,Technical,
getting-ai-to-work-in-complex-codebases-human-layer,Getting AI to Work in Complex Codebases,Human Layer,Essay,https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/ace-fca.md,5,Refine your understanding of how to steer LLM's to do complex work for you.,2025-10-15,Technical,
how-the-bitcoin-protocol-actually-works-michael-nielsen,How the Bitcoin protocol actually works,Michael Nielsen,Essay,https://michaelnielsen.org/ddi/how-the-bitcoin-protocol-actually-works/,4,Learn how Bitcoin works from the ground up.,2025-09-15,Technical,
how-the-bitcoin-protocol-actually-works-michael-nielsen,Mental Models: The Best Way to Make Intelligent Decisions (~100 Models Explained),Farnam Street,Essay,https://fs.blog/mental-models/,4,"Don't try to read it all at once, dense information.",2025-04-15,Misc.,
america-s-growing-trade-deficit-is-selling-the-nation-out-from-under-us-heres-a-way-to-fix-the-problem-and-we-need-to-do-it-now-thomas-piketty,America's Growing Trade Deficit Is Selling the Nation Out From Under Us. Here's a Way to Fix the Problem—And We Need to Do It Now.,Warren Buffett,Essay,https://www.berkshirehathaway.com/letters/growing.pdf,4,So is Trump dumb if Buffett said it first?,2025-04-26,Economics,
increasing-returns-and-the-new-world-of-business-w-brian-arthur,Increasing Returns and the New World of Business,W. Brian Arthur,Essay,https://hbr.org/1996/07/increasing-returns-and-the-new-world-of-business,4,This is from 1996! Incredible intelligence to be able to interpret innklings of big trends early then understand and extrapolate. ,2025-10-26,Economics,
iwoz-steve-wozniak,iWoz,Steve Wozniak,Book,,4,"The other half of the Apple story, fun easy read.",2017-11-15,People|Companies,
hoop-dreams,Hoop Dreams,Ben Joravsky (book adaptation context),Book,,4,,2018-01-15,Misc.,
lord-of-the-flies-william-golding,Lord of the Flies,William Golding,Book,,2,Just some high school forced reading,2018-02-15,Misc.,
the-alchemist-paulo-coelho,The Alchemist,Paulo Coelho,Book,,5,Read this in two days. Read twice. Still need to read again.,2018-03-15,Misc.,
the-kite-runner-khaled-hosseini,The Kite Runner,Khaled Hosseini,Book,,5,"Insane story, meant for the young liberal girls lol",2018-04-15,Misc.,
columbine-dave-cullen,Columbine,Dave Cullen,Book,,4,,2018-05-15,Misc.,
motley-fool-guide-teens,The Motley Fool Investment Guide for Teens,David & Tom Gardner,Book,,2,I guess i learned something about investing at the time.,2018-06-15,Misc.,
replay-ken-grimwood,Replay,Ken Grimwood,Book,,5,Elit fiction book. Read it so fast. I was consumed in the story.,2018-07-15,Misc.,
my-infamous-life-prodigy,My Infamous Life,Prodigy,Book,,5,Such a cool story to read about. RIP.,2018-08-15,People,
straight-to-hell-john-lefevre,Straight to Hell,John LeFevre,Book,,5,Hilarious finance bro stories. So so funny.,2018-09-15,Economics,
liars-poker-michael-lewis-2,Liar’s Poker,Michael Lewis,Book,,5,"Iconic, classic.",2018-10-15,Economics,
the-fifth-risk-michael-lewis,The Fifth Risk,Michael Lewis,Book,,3,Jeez this guy has TDS.,2018-11-15,Misc.,
the-big-short-michael-lewis,The Big Short,Michael Lewis,Book,,5,Elite book. Better than the movie.,2018-12-15,Economics,
moneyball-michael-lewis,Moneyball,Michael Lewis,Book,,5,Classic. Better than the movie. Need to reread.,2019-01-15,Economics,
the-sixth-man-andre-iguodala,The Sixth Man,Andre Iguodala,Book,,4,Enjoyed,2019-02-15,Misc.,
catch-me-if-you-can-frank-abagnale,Catch Me If You Can,Frank Abagnale,Book,,3,Just watch the movie.,2019-03-15,People|Misc.,
american-radical-tamer-elhady,American Radical,Tamer Elnoury,Book,,4,Eery book.,2019-04-15,Misc.,
flash-boys-michael-lewis,Flash Boys,Michael Lewis,Book,,3,I was too young to understand a lot of it.,2019-05-15,Economics,
naked-economics-charles-wheelan,Naked Economics,Charles Wheelan,Book,,5,"I knew nothing about economics before this, and I knew a whole lot more after this. I did read it as a 17 year old though.",2020-06-15,Economics,
1984-george-orwell,1984,George Orwell,Book,,3,High school forced reading.,2020-07-15,Misc.,
the-way-i-am-eminem,The Way I Am,Eminem,Book,,2,"Seems low effort, nothing to learn here.",2020-08-15,Misc.,
freakonomics-levitt-dubner,Freakonomics,Steven Levitt & Stephen Dubner,Book,,3,Just read the annecdotes online.,2020-09-15,Economics,
hitchhikers-guide-douglas-adams,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,Book,,2,I just didn't get it. A shame because everyone else loves it.,2020-10-15,Misc.,
sapiens-yuval-noah-harari,Sapiens,Yuval Noah Harari,Book,,5,"Didn't finish it, but it was amazing. Need to get back to it.",2020-11-15,Misc.,
pursuit-of-happyness-chris-gardner,The Pursuit of Happyness,Chris Gardner,Book,,3,Just watch the movie.,2020-12-15,People,
frankenstein-mary-shelley,Frankenstein,Mary Shelley,Book,,5,"Classic. Forced to read & analyze it in high school to understand everything, and I probably would have hated it without that.",2021-01-15,Misc.,
fooled-by-randomness-nassim-taleb,Fooled by Randomness,Nassim Nicholas Taleb,Book,,2,"I love nassim, but man this book was brtual for me to get through, i gave up.",2024-12-15,Economics,
shaun-mag-s&p500-in-gold-vs-dollars,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The S&amp;P 500 since 1928:<br><br>1) denominated in gold<br><br>2) denominated in dollars<br><br>There&#39;s a magic trick where you can trivially make stocks go up by printing money, while simultaneously running towards a fiscal cliff <a href=""https://t.co/FxoHB0nMzR"">pic.twitter.com/FxoHB0nMzR</a></p>&mdash; Shaun Maguire (@shaunmmaguire) <a href=""https://twitter.com/shaunmmaguire/status/1907903665572343892?ref_src=twsrc%5Etfw"">April 3, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
deutsh-the-west,,,Tweet,https://x.com/DavidDeutschOxf/status/1917213808608559249?s=20,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The West, or perhaps only the Anglosphere, is the historically unique idea that individuals exist not for the sake of their ruler, their class, their society, their ancestors, their gods, or any other such superstition, but for their own sake.</p>&mdash; David Deutsch (@DavidDeutschOxf) <a href=""https://twitter.com/DavidDeutschOxf/status/1917213808608559249?ref_src=twsrc%5Etfw"">April 29, 2025</a></blockquote>"
one-paragraph-what-has-gone-wrong-with-institutions,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">This is the best one-paragraph explanation for what&#39;s gone wrong with our institutions: <a href=""https://t.co/29bmZNZCAO"">pic.twitter.com/29bmZNZCAO</a></p>&mdash; Alec Stapp (@AlecStapp) <a href=""https://twitter.com/AlecStapp/status/1919193547783184789?ref_src=twsrc%5Etfw"">May 5, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
sf-1849,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""it"" dir=""ltr"">San Francisco in 1849 <a href=""https://t.co/x4bHlpkdVA"">https://t.co/x4bHlpkdVA</a> <a href=""https://t.co/hb2rrLH1gI"">pic.twitter.com/hb2rrLH1gI</a></p>&mdash; Sheel Mohnot (@pitdesi) <a href=""https://twitter.com/pitdesi/status/1933689791767343179?ref_src=twsrc%5Etfw"">June 14, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
thiel-AI-1pp-GDP-growth,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Peter Thiel says his rough place holder for the impact of AI is inline with the internet, maybe adding 1 percentage point to GDP growth every year for 10-15 years. <a href=""https://t.co/FZjRd8Vcek"">pic.twitter.com/FZjRd8Vcek</a></p>&mdash; modest proposal (@modestproposal1) <a href=""https://twitter.com/modestproposal1/status/1938629270181650706?ref_src=twsrc%5Etfw"">June 27, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
mark-holo-manufacturing-by-state,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""zxx"" dir=""ltr""><a href=""https://t.co/5Gx9z4qjLr"">pic.twitter.com/5Gx9z4qjLr</a></p>&mdash; mark holowesko (@holowesko) <a href=""https://twitter.com/holowesko/status/1946595261821641191?ref_src=twsrc%5Etfw"">July 19, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
happiness-vs-addiction-graphs,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""zxx"" dir=""ltr""><a href=""https://t.co/C6Lj8PWM44"">https://t.co/C6Lj8PWM44</a> <a href=""https://t.co/jOpCLLbBsc"">pic.twitter.com/jOpCLLbBsc</a></p>&mdash; Drex⚡️ (@drex_dsgn) <a href=""https://twitter.com/drex_dsgn/status/1958474081524695487?ref_src=twsrc%5Etfw"">August 21, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
jamie-dimon-efficiency-acquired,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">There was a subtle but important point in our Jamie Dimon interview about efficiency ratio.<br><br>This chart really illustrates it. Astonishing separation from competitors. <br><br>It&#39;s not hard to imagine why you can win in a market if you keep 15 cents more of every dollar you earn! <a href=""https://t.co/Dvdpr65yIJ"">pic.twitter.com/Dvdpr65yIJ</a></p>&mdash; Acquired Podcast (@AcquiredFM) <a href=""https://twitter.com/AcquiredFM/status/1948043095695827350?ref_src=twsrc%5Etfw"">July 23, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
dario-LLM-economics,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Anthropic CEO talked about how he approaches LLM economics in an interview with John Collison <a href=""https://t.co/2d6SF9mb7L"">pic.twitter.com/2d6SF9mb7L</a></p>&mdash; Origo (@origoinvest) <a href=""https://twitter.com/origoinvest/status/1960452442757456000?ref_src=twsrc%5Etfw"">August 26, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
perps-101,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">perps 101<br><br>perps are 90%+ of crypto volume today, they run the market. critical to understand, but most people working in crypto don&#39;t actually understand how they work.<br><br>did a few sessions this week internally breaking them down. here&#39;s the tldr - not a guide, just my stream of…</p>&mdash; Tyler Tarsi (@ttarsi) <a href=""https://twitter.com/ttarsi/status/1961194352799006761?ref_src=twsrc%5Etfw"">August 28, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
life-statisfaction-study,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Breakdown of the paper:<br><br>The study found that a person&#39;s life satisfaction is very, very strongly connected to their personality traits. When they removed all the usual problems from how things were measured, they could predict how happy someone was with their life almost… <a href=""https://t.co/X1wC2xFExm"">pic.twitter.com/X1wC2xFExm</a></p>&mdash; BensenHsu (@BensenHsu) <a href=""https://twitter.com/BensenHsu/status/1963224466777055535?ref_src=twsrc%5Etfw"">September 3, 2025</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>"
iconic-tech-tweets,,,Tweet,,,,,Tweets,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">my top 4 tech twitter tweets of all time <a href=""https://t.co/FVwFJObBe6"">pic.twitter.com/FVwFJObBe6</a></p>&mdash; Sahil (@sahilypatel) <a href=""https://twitter.com/sahilypatel/status/1965808321451147541?ref_src=twsrc%5Etfw"">September 10, 2025</a></blockquote>"
